Region;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
000 France métropolitaine;18407,09;18992,39;19589,91;19701,19;20284,82;20869,99;21377,01;21994,61;22915,3;23626,67;24767,66;25563,43;26192,21;26703,77;27694,74;28461,78;29554,96;30840,64;31459,17;30400,85;31179,51;31976,04;32316,54f
001 France entière;18180,72;18747,79;19330,48;19442,78;20010,5;20587,32;21083,36;21689,22;22590,84;23291,86;24400,31;25190,97;25812,09;26324,37;27301,96;28067,19;29151,38;30416,71;31027,99;29990,33;30758;31538,74;31878,21f
R11 Ile-de-France;28072,33;28936,76;29826,78;30220,35;31062,1;31376,87;32272,09;33366,92;34473,81;36479,64;38110,61;39101,78;40271,44;40775,87;41868,64;43316,22;44690,83;47617,15;50994,49;48849,32;51607,71;51849,68;52298,42f
R21 Champagne-Ardenne;17019,95;17326,49;17898,65;17798,73;18232,51;19057,97;19596,03;20137,89;21655,4;22148,71;23222,1;23307,32;23722,7;23910,18;25645,85;25889,13;26669,81;28043,62;27739,19;26211,42;26492,38;28239,4;27833,19f
R22 Picardie;15689,08;16047,74;16543,57;16553,76;17082,3;17741,16;18075,85;18365,62;19261,99;19651,04;20204,75;20761,68;21192,32;21716,82;22138,75;22609,72;23139,32;24222,18;23971,69;23071;23488,54;24169,97;24450,22f
R23 Haute-Normandie;16925;17499,74;18071,44;18051,52;18505,89;19078,32;19383,23;19731,4;20607,54;21215,4;22343,11;22868,14;23337,84;23954,19;24786,68;25335,47;26178,45;27526,53;27036,24;25953,32;26662,01;27510,89;28027,04f
R24 Centre;16905,28;17409,18;17925,06;17937,69;18414,89;19066,08;19366,52;19675,21;20577,45;21079,06;21954,37;22711,56;23159,74;23618,88;24513,62;24915,92;25807,21;26784,63;26084,28;25425,94;25736,25;26494,38;26847,20f
R25 Basse-Normandie;15372,16;15916,38;16493,63;16649,17;17434,42;17828,02;18026,84;18459,46;18936,53;19460,19;20520,09;20901,57;21518,36;22216,24;23230,41;23622,01;24545,78;25302,52;25146,6;24371,86;24779,97;25679,21;26156,94f
R26 Bourgogne;16421,02;16931,48;17333,58;17056,92;17588,72;18348,02;18812,03;19504,65;20409,58;20779,49;21767,79;22166,25;22652,41;23016,98;24119,48;24438,05;25395,25;26742,63;26659,15;25573,2;25405,22;26376,02;26727,48f
R31 Nord-Pas-de-Calais;14383,76;14839,13;15354,4;15421,36;15859,08;16436,57;16934,79;17162,09;18122,14;18424,06;19282,02;19855,35;20559,69;21181,72;21963,42;22613,03;23746,4;24791,7;25334,44;24550,39;24744,02;25655,14;25821,64f
R41 Lorraine;15369,92;15938,67;16517,38;16620,66;17179,02;17872,49;18018,21;18381,02;19201,85;19294,68;20304,7;20994,27;21461,56;21960,96;22930,28;23310,35;24106,73;24851,12;24352,51;23574,11;23443,14;24060,42;24097,02f
R42 Alsace;18764,77;19186,08;19948,88;20228,32;20689,25;21487,18;21987,3;22168,22;23089;23452,46;24484,65;24996,39;25364,21;25711,26;26377,27;26552,63;27473,43;28822,04;29321,53;28499,54;28319,78;29317,78;29528,46f
R43 Franche-Comté;15773,92;16081,13;16540,47;16679,51;17168,5;17905,65;18248,54;18508,72;19449,25;19970,07;21389,84;22285,9;22692,71;23000,07;23683,05;23888,67;24437,59;25259,51;25034,11;24068,92;24205,27;24929;24428,64f
R52 Pays de la Loire;15510,29;16115,45;16746,7;16867,62;17464,55;18266,38;18810,64;19139,02;20128,35;20771,2;22108,96;23061,32;23638,87;24200,48;24929,1;25567,26;26375,19;27448,98;27876,8;26834,23;26966,22;28194,7;28646,06f
R53 Bretagne;14892,7;15446,91;16094,2;16307,14;17002,86;17533,2;17928,87;18683,89;19531,26;20017,31;21304,74;21974,22;22415,83;22983,07;24361,84;25142,58;26081,46;26758,14;26198,97;25235,94;25339,43;26340,15;26655,30f
R54 Poitou-Charentes;14878,17;15322,12;15931,59;16070,35;16596,93;17298,63;17614,47;18240,94;18893,74;19264,06;20281,82;20976,59;21692,57;22246,4;23102,85;23465,33;24228,75;25280,42;24622,94;24025,81;24472,18;25412,59;26058,37f
R72 Aquitaine;15997,9;16545,22;17060,32;17165,14;17841,91;18449,53;19036,7;19861,33;20866,44;20588,33;21828,73;23002,88;23680,61;23996,22;24641,11;25388,53;26603,74;27455,14;26995,38;26594,23;27064,59;28085,03;28322,98f
R73 Midi-Pyrénées;15865,72;16419,36;16903,33;16993,98;17462,42;18226,46;18568,36;19278,67;19886,25;20524,3;21245,46;22512,74;23116,71;23532,7;24419,16;25439,94;27031,16;27198,23;27367,23;26951,84;26771,26;27833,3;28627,18f
R74 Limousin;15108,08;15657,91;16098,4;16096,72;16509,82;16918,96;17279,32;17731,08;18503,4;19077,44;20047,35;20687,85;21588,68;21991,24;22278,06;23128,85;23918,71;24611,23;23769,03;23264,38;22884,57;23528,46;23839,11f
R82 Rhône-Alpes;18681,14;19211,37;19613,17;19520,06;19989,44;20854,24;21524,98;22369,88;23287,13;23718,5;24894,56;25646;25918,53;26355,13;27762,63;28403,48;29834,87;30754,37;31411,25;30089,71;30666,98;31783,62;32010,49f
R83 Auvergne;15701,13;15860,86;16024,31;15975,12;16551,46;17250,89;17634,27;18376,8;19563,3;19992,14;20645,2;21143,02;21752,25;22249,62;23218,35;23797,2;24607,15;25758,76;25028,74;24251,51;24668,68;25678,82;25945,25f
